key|d1|d2
anti_taunt01|Stop it!|Stop it!
anti_taunt02|What if you froze like that?|What if you froze like that?
anti_taunt05|There must be something wrong with the reassembly machine.|There must be something wrong with the reassembly machine.
anti_taunt09|You should see yourselves right now.|You should see yourselves right now.
anti_taunt10|Is it fun when you degrade yourselves like that?|Is it fun when you degrade yourselves like that?
anti_taunt11|Okay, fine. Let's all act like humans. 'Look at me. Boy, do I love sweating. Let's convert beef and leaves into energy and excrete them later and go shopping.'|Okay, fine. Let's all act like humans. 'Look at me. Boy, do I love sweating. Let's convert beef and leaves into energy and excrete them later and go shopping.'
anti_taunt14|You really aren't getting tired of that, are you?|You really aren't getting tired of that, are you?
anti_taunt15|Just stop flailing around like an incompetent.|Just stop flailing around like an incompetent.
anti_taunt16|For that Blue is penalized fifty science collaboration points.|For that Blue is penalized fifty science collaboration points.
anti_taunt17|For that Orange is penalized fifty science collaboration points.|For that Orange is penalized fifty science collaboration points.
anti_taunt18|That's another fifty point penalty.|That's another fifty point penalty.
anti_taunt19|Keep it up and you will lose 500 points.|Keep it up and you will lose five hundred points.
anti_taunt20|Fine, 500 point penalty for Blue.|Fine, five hundred point penalty for Blue.
anti_taunt21|Fine, 500 point penalty for Orange.|Fine, five hundred point penalty for Orange.
anti_taunt22|5000 point penalty! Are you happy now?|five thousand point penalty! Are you happy now?
anti_taunt23|I'm done.|I'm done.
botcoop_artifactone01|Good. You made it to one of the human habitats. We're looking for an artifact. Think of it as an archeological dig.|Good. You made it to one of the human habitats. We're looking for an artifact. Think of it as an archeological dig.
botcoop_artifactone02|Their laughter centered around one of the objects in this room.|Their laughter centered around one of the objects in this room.
botcoop_artifactone03|That's it. Scan it for me.|That's it. Scan it for me.
botcoop_artifactone04|So... this cat loves lasagna so much that he eats all of the lasagna in his house. Okay, apparently it's not the cat's house or his lasagna. Oh good! The man who owns the lasagna is furious!|So... this cat loves lasagna so much that he eats all of the lasagna in his house. Okay, apparently it's not the cat's house or his lasagna. Oh good! The man who owns the lasagna is furious!
botcoop_artifactone05|The end.|The end.
botcoop_artifactone06|The end?|The end?
botcoop_artifactone07|That's not funny.|That's not funny.
botcoop_artifactone08|Do either of you feel like laughing?|Do either of you feel like laughing?
botcoop_artifactone09|Alright, I'm pulling you out.|Alright, I'm pulling you out.
botcoop_artifactone_hub01|Welcome back. While you were dead, I reworked the cartoon. It's up on the screen.|Welcome back. While you were dead, I reworked the cartoon. It's up on the screen.
botcoop_artifactone_hub02|As you can see, in my version the man points out to the cat that the house is equipped with deadly neurotoxin dispensers.|As you can see, in my version the man points out to the cat that the house is equipped with deadly neurotoxin dispensers.
botcoop_artifactone_hub03|At which point the cat reflects on the time he ate all of the man's lasagna and feels remorse.|At which point the cat reflects on the time he ate all of the man's lasagna and feels remorse.
botcoop_artifactone_hub04|Briefly.|Briefly.
botcoop_artifactone_hub05|Reactions?|Reactions?
botcoop_artifactone_hub06|Yes, it's funny because most of it actually happened.|Yes, it's funny because most of it actually happened.
botcoop_artifactone_hub07|Do you feel more human?|Do you feel more human?
botcoop_artifactone_hub08|Well, let's do some tests and see what happens.|Well, let's do some tests and see what happens.
botcoop_competition01|Excellent. Although great science is always the result of collaboration, keep in mind that, like Albert Einstein and his cousin Terry, history will only remember one of you.|Excellent. Although great science is always the result of collaboration, keep in mind that, like Albert Einstein and his cousin Terry, history will only remember one of you.
botcoop_competition02|To reiterate: This is not a competition.|To reiterate: This is not a competition.
botcoop_competition03|Still, if it were, Blue would be winning.|Still, if it were, Blue would be winning.
botcoop_competition04|Still, if it were, Orange would be winning.|Still, if it were, Orange would be winning.
botcoop_competition05|It's not, though.|It's not, though.
botcoop_competition10|These tests are potentially lethal when communication, teamwork, and mutual respect are not employed at all times. Naturally this will pose an interesting challenge for one of you, given the other's performance so far.|These tests are potentially lethal when communication, teamwork, and mutual respect are not employed at all times. Naturally this will pose an interesting challenge for one of you, given the other's performance so far.
botcoop_competition13|I don't want to drive a wedge between the two of you, but I've been studying Blue's performance, and I don't know how to put this... I'm certain you're trying very hard.|I don't want to drive a wedge between the two of you, but I've been studying Blue's performance, and I don't know how to put this... I'm certain you're trying very hard.
botcoop_hub_first_run01|Hello again. Sorry about exploding you. Luckily, you don't feel pain. At any rate, you don't have a way to communicate that you feel pain.|Hello again. Sorry about exploding you. Luckily, you don't feel pain. At any rate, you don't have a way to communicate that you feel pain.
botcoop_hub_first_run03|So I've been thinking: We need humans for these tests. And since the only human within a thousand miles of us is a test-ruining sociopath... I'll just have to MAKE some.|So I've been thinking: We need humans for these tests. And since the only human within a thousand miles of us is a test-ruining sociopath... I'll just have to MAKE some.
botcoop_hub_first_run04|I know how humans make more humans, and frankly, it's ridiculous. It also assumes that you already have a human, which I hope somebody got fired over. So I came up a with BETTER way.|I know how humans make more humans, and frankly, it's ridiculous. It also assumes that you already have a human, which I hope somebody got fired over. So I came up a with BETTER way.
botcoop_hub_first_run05|That's where YOU come in.|That's where YOU come in.
botcoop_hub_first_run06|Get going. I'll fill you in along the way.|Get going. I'll fill you in along the way.
botcoop_hub_first_run07|GO.|GO.
botcoop_humandetector01|Perfect. Now All YOU have to do is capture them for me. Then everything will finally be ba—|Perfect. Now All YOU have to do is capture them for me. Then everything will finally be ba—
botcoop_humandetector02|Hold on. Those are raccoons. Homo sapiens only, please.|Hold on. Those are raccoons. Homo sapiens only, please.
botcoop_humandetector04|NO.|NO.
botcoop_humandetector05|Okay. Plan B, subsection one: Stand still so I can bring you back.|Okay. Plan B, subsection one: Stand still so I can bring you back.
botcoop_humansplanb01|Humans must have some purpose other than a place to store your neurotoxin. Something I failed to notice before, an intangible quality that makes their test results... significant.|Humans must have some purpose other than a place to store your neurotoxin. Something I failed to notice before, an intangible quality that makes their test results... significant.
botcoop_humansplanb02|Okay. Plan B. We need humans.|Okay. Plan B. We need humans.
botcoop_intro01|Please wave to your partner.|Please wave to your partner.
botcoop_intro02|The upcoming tests require you to work together as a team.|The upcoming tests require you to work together as a team.
botcoop_intro03|To facilitate collaboration, both of you have been equipped with a ping tool.|To facilitate collaboration, both of you have been equipped with a ping tool.
botcoop_intro04|BLUE, please use your ping tool to select your favorite animal.|BLUE, please use your ping tool to select your favorite animal.
botcoop_intro05|Good.|Good.
botcoop_intro06|ORANGE, please observe your partner's favorite animal.|ORANGE, please observe your partner's favorite animal.
botcoop_intro07|Good.|Good.
botcoop_intro08|ORANGE, please use your ping tool to select your favorite element from the periodic table.|ORANGE, please use your ping tool to select your favorite element from the periodic table.
botcoop_intro09|Really? Okay.|Really? Okay.
botcoop_intro10|BLUE, please observe your partner's... interesting choice.|BLUE, please observe your partner's... interesting choice.
botcoop_intro12|Your ping tool can also be used to indicate to your partner where you would like them to place their portal.|Your ping tool can also be used to indicate to your partner where you would like them to place their portal.
botcoop_intro13|For the sake of this test, I will pretend to be your partner.|For the sake of this test, I will pretend to be your partner.
botcoop_intro15|ORANGE, please show me where you would like me to place a portal.|ORANGE, please show me where you would like me to place a portal.
botcoop_intro16|BLUE, please show me where you would like me to place a portal.|BLUE, please show me where you would like me to place a portal.
botcoop_intro17|Your ping tool is invaluable for communicating specific locations to your partner.|Your ping tool is invaluable for communicating specific locations to your partner.
botcoop_paxdemo01|Federal Superfund regulations require us to inform you that you must now leave the theater, as measuring the effects of asbestos-lined promotional clothing is not part of today's presentation. Enjoy your free t-shirt. Goodbye.|Federal Superfund regulations require us to inform you that you must now leave the theater, as measuring the effects of asbestos-lined promotional clothing is not part of today's presentation. Enjoy your free t-shirt. Goodbye.
botcoop_tubethree01|I don't want you to beat yourselves up about this, but the Results Auditor isn't recording your test results. Because you're not human. Which, when you think about it, is technically your fault.|I don't want you to beat yourselves up about this, but the Results Auditor isn't recording your test results. Because you're not human. Which, when you think about it, is technically your fault.
botcoop_tubethree02|I don't want to alarm either of you, but we might have a tiny problem. Apparently you can't test unless you're human. Well - you CAN. It's just that, results-wise, the physical universe doesn't care.|I don't want to alarm either of you, but we might have a tiny problem. Apparently you can't test unless you're human. Well - you CAN. It's just that, results-wise, the physical universe doesn't care.
botcoop_tubetwo01|Would you like to know the results of that last test? Me too. If they existed, we'd all be VERY happy right now. And not furious, which is the emotion I'm actually feeling.|Would you like to know the results of that last test? Me too. If they existed, we'd all be VERY happy right now. And not furious, which is the emotion I'm actually feeling.
coop_get_gun01|Orange is first to acquire a Portal Device.|Orange is first to acquire a Portal Device.
coop_get_gun02|Blue is first to acquire a Portal Device.|Blue is first to acquire a Portal Device.
coop_get_gun03|Orange now has a Portal Device. Finally.|Orange now has a Portal Device. Finally.
coop_get_gun04|Blue now has a Portal Device. Finally.|Blue now has a Portal Device. Finally.
coop_get_gun10|Orange is awarded five points!|Orange is awarded five points!
coop_get_gun11|Blue is awarded five points!|Blue is awarded five points!
coop_get_gun13|Again, those are science collaboration points, which you should not confuse with points from competitions such as Who-Gets-To-Live-At-The-End-And-Who-Doesn’t. I mean basketball.|Again, those are science collaboration points, which you should not confuse with points from competitions such as Who-Gets-To-Live-At-The-End-And-Who-Doesn’t. I mean basketball.
